TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
4.00705, 0.00170694, 0.000581348, 0.00238674, 0.00141462, 0.00255157, 0.00403232, 0.00698615, 0.00203097
4.07614, 0.00169997, 0.0014035, 0.00319699, 0.00138326, 0.00456946, 0.00599733, 0.00948125, 0.00032438
4.13889, 0.00139314, 0.000818599, 0.00231308, 0.0012407, 0.00170956, 0.00298574, 0.00554484, 0.00031707
4.20838, 0.00172063, 0.000973049, 0.00277288, 0.000942038, 0.00431847, 0.00530163, 0.00837318, 0.000346939
4.27286, 0.00158541, 0.00101755, 0.00267354, 0.000974918, 0.00226292, 0.00327185, 0.00618326, 0.00029128
4.34005, 0.0012549, 0.000777679, 0.00210007, 0.000849668, 0.00346599, 0.00435731, 0.00671218, 0.00028741
4.40779, 0.00188259, 0.00120289, 0.00317349, 0.00136252, 0.00293537, 0.00433647, 0.00778475, 0.000351609
4.47268, 0.00131739, 0.000863459, 0.00223745, 0.0010829, 0.00239143, 0.00351518, 0.0060055, 0.000347948
4.54262, 0.00156476, 0.00366634, 0.005326, 0.00127275, 0.00240161, 0.00370598, 0.00928706, 0.00035581
4.61388, 0.00175615, 0.00505435, 0.00688931, 0.00140522, 0.00523943, 0.00668713, 0.0138728, 0.00037782
4.67664, 0.00166389, 0.00269072, 0.00443499, 0.00129863, 0.00393364, 0.0052782, 0.00996694, 0.00034293
4.74101, 0.0016493, 0.00232878, 0.00405491, 0.000938808, 0.00239348, 0.00337823, 0.00768139, 0.000495989
4.81224, 0.00189134, 0.00512391, 0.00709862, 0.00133294, 0.00334894, 0.00474643, 0.0121867, 0.00034005
4.87877, 0.00148724, 0.00544793, 0.00703028, 0.00130835, 0.00350475, 0.00485152, 0.0121097, 0.000318189
4.9428, 0.00168847, 0.00369059, 0.00546836, 0.00123073, 0.00249457, 0.00375953, 0.00945819, 0.000307529
5.00218, 0.0019333, 1.838e-05, 0.00200802, 0, 0, 0, 0.00216304, 0.00022258
5.07666, 0.00193209, 0.00390829, 0.00590719, 0.000842418, 0.00293933, 0.003822, 0.00998114, 0.000329719
5.14551, 0.00155591, 0.00622167, 0.00785228, 0.00114031, 0.00286491, 0.00410891, 0.0121683, 0.00030183
5.21963, 0.00194682, 0.0117978, 0.0138486, 0.00110885, 0.00426913, 0.0055105, 0.0196151, 0.00044186
5.27767, 0.00167398, 0.00383609, 0.00558012, 0.000774649, 0.00431159, 0.00518862, 0.0109917, 0.000312677
5.34488, 0.00239522, 0.00460109, 0.00707366, 0.000883488, 0.00325511, 0.00423949, 0.0115128, 0.000324507
5.41056, 0.0020378, 0.0027121, 0.00483572, 0.00125457, 0.00400684, 0.00542833, 0.010548, 0.000373098
5.47621, 0.00227041, 0.00282079, 0.0051749, 0.00124528, 0.0027537, 0.00411089, 0.00953459, 0.00034987
5.54336, 0.00195971, 0.00244813, 0.00447749, 0.000817059, 0.00440026, 0.00530749, 0.0100218, 0.00035756
5.61151, 0.0016955, 0.00240807, 0.00419592, 0.0010992, 0.00572508, 0.0069318, 0.0114938, 0.000450929
5.68132, 0.0018315, 0.006192, 0.00810603, 0.0010889, 0.00507057, 0.00628271, 0.0146499, 0.000334688
5.74479, 0.00151485, 0.00224728, 0.00385856, 0.00121351, 0.00603878, 0.00735851, 0.0114517, 0.00031524
5.81078, 0.00177292, 0.0031648, 0.00503493, 0.00119193, 0.00400438, 0.00533061, 0.0107647, 0.00035214
5.87787, 0.00162102, 0.00163805, 0.00333736, 0.000739569, 0.00672977, 0.00757587, 0.0112006, 0.000317859
5.94318, 0.0016784, 0.0023015, 0.00406004, 0.00116069, 0.00436657, 0.00555735, 0.0098471, 0.000308889
6.01065, 0.00171963, 0.00242132, 0.0042367, 0.0011277, 0.00488825, 0.0061498, 0.010619, 0.000348069
6.07351, 0.00139315, 0.00225728, 0.00371047, 0.000761949, 0.00207062, 0.00292209, 0.00681942, 0.000275739
6.13957, 0.00137113, 0.00182265, 0.00327567, 0.000733319, 0.00199114, 0.00275025, 0.00624802, 0.000270769
6.2086, 0.00150001, 0.00239453, 0.00398246, 0.00115332, 0.00310802, 0.0042988, 0.00860498, 0.000365439
6.2746, 0.00134937, 0.00152378, 0.00294246, 0.000993568, 0.00367123, 0.00470858, 0.00793979, 0.00029604
6.34302, 0.00156812, 0.00258911, 0.00424447, 0.00105692, 0.00398653, 0.00507861, 0.00968035, 0.00032684
6.40988, 0.00136547, 0.00179958, 0.00325714, 0.000895549, 0.00536988, 0.00631953, 0.0098709, 0.000336389
6.47266, 0.000998158, 0.00173594, 0.00279783, 0.000639269, 0.00225533, 0.00293596, 0.00598956, 0.000282239
6.54197, 0.0013828, 0.0025082, 0.00396889, 0.000798829, 0.00361721, 0.00445515, 0.00863604, 0.000287599
6.60671, 0.00164106, 0.00161115, 0.00331762, 0.000615969, 0.00246143, 0.0031143, 0.00670849, 0.000258059
6.67687, 0.00156123, 0.00314467, 0.00477351, 0.000672829, 0.00443436, 0.00515447, 0.0102028, 0.000291449
6.74354, 0.00151028, 0.00287191, 0.00445917, 0.000995188, 0.00448663, 0.00551789, 0.0101976, 0.00031069
6.81144, 0.00168974, 0.00367609, 0.00544604, 0.00108374, 0.00460236, 0.00572677, 0.0114408, 0.00027645
6.87413, 0.00179126, 0.00247324, 0.00432898, 0.000676009, 0.00222207, 0.00292757, 0.00746681, 0.00028684
6.94118, 0.00202605, 0.0016335, 0.00372322, 0.000634379, 0.00319296, 0.00385836, 0.00786226, 0.00026894
7.00924, 0.00181332, 0.00291503, 0.00481471, 0.000997248, 0.00306513, 0.00411737, 0.00923031, 0.000279029
7.07455, 0.0012625, 0.00311272, 0.00446875, 0.000987928, 0.00199986, 0.00309794, 0.00788276, 0.000266539
7.14116, 0.00152365, 0.00200374, 0.00361266, 0.000706269, 0.00316704, 0.00397638, 0.00781974, 0.000319289
7.21314, 0.00172709, 0.00649121, 0.00830441, 0.000997588, 0.00354189, 0.00458161, 0.01313, 0.0003217
7.27419, 0.0014263, 0.00304303, 0.00455336, 0.000676759, 0.00199371, 0.00276397, 0.00755628, 0.00028612
7.34251, 0.00183621, 0.0032587, 0.00518146, 0.000960068, 0.00269375, 0.00376862, 0.00918125, 0.00033243
7.41556, 0.00188526, 0.00570447, 0.00767798, 0.00121809, 0.00622841, 0.00757418, 0.0155705, 0.000358647
7.47585, 0.00125254, 0.00261554, 0.00395044, 0.000993539, 0.00390776, 0.004986, 0.00916626, 0.000268389
7.54783, 0.00154373, 0.00821978, 0.00988283, 0.000930518, 0.00330871, 0.00436433, 0.0144909, 0.000349699
7.61218, 0.00211934, 0.00281809, 0.00502639, 0.000796699, 0.00585187, 0.0067741, 0.0120942, 0.000698809
7.67789, 0.00120059, 0.00278493, 0.00406019, 0.000751669, 0.00600703, 0.0068796, 0.0112219, 0.00029334
7.74669, 0.00150817, 0.00244565, 0.00404119, 0.000694309, 0.00771759, 0.00853443, 0.0132953, 0.000304
7.8071, 0.00142522, 0.00196807, 0.00349011, 0.000768879, 0.0024149, 0.00328695, 0.00708844, 0.00035083
7.87483, 0.00116818, 0.00218676, 0.00344536, 0.00100263, 0.00345316, 0.00449323, 0.00816294, 0.000328178
7.94285, 0.00118553, 0.00139063, 0.00264046, 0.000700609, 0.00589569, 0.00663006, 0.00951235, 0.00025382
8.00973, 0.00151004, 0.0024153, 0.00400547, 0.00106672, 0.0043265, 0.00542582, 0.00971863, 0.00032526
8.07619, 0.00142947, 0.00172742, 0.00323971, 0.00102263, 0.00492805, 0.00598649, 0.00952185, 0.000301609
8.14097, 0.00145341, 0.00183082, 0.00334664, 0.000654619, 0.00330379, 0.00400225, 0.00760888, 0.000285949
8.20972, 0.00158577, 0.00163946, 0.00330274, 0.00108947, 0.00500633, 0.00614022, 0.0097066, 0.000297759
8.27796, 0.000904179, 0.005254, 0.00623089, 0.000744739, 0.00407269, 0.00485029, 0.0112912, 0.00025062
8.3406, 0.00116315, 0.00230213, 0.00359461, 0.00110487, 0.00228859, 0.00343938, 0.00727296, 0.000324538
8.40974, 0.00117158, 0.00274114, 0.00399198, 0.000979149, 0.00438734, 0.00540902, 0.00971428, 0.0003085
8.47389, 0.000985608, 0.00200699, 0.00307538, 0.000861639, 0.00303651, 0.00392992, 0.00722907, 0.00028692
8.54058, 0.00109113, 0.00302917, 0.00421175, 0.000962319, 0.00181893, 0.0028168, 0.00724732, 0.000266539
8.60918, 0.00121854, 0.00280571, 0.00409461, 0.000905808, 0.00391747, 0.00485685, 0.00917892, 0.000254089
8.67688, 0.00168104, 0.00396888, 0.00572032, 0.000679899, 0.00356381, 0.00427493, 0.0102114, 0.00026296
8.74492, 0.00126693, 0.00575674, 0.00710052, 0.000983618, 0.00318425, 0.00420574, 0.01157, 0.00027724
8.8096, 0.00121661, 0.0043072, 0.0056148, 0.00114108, 0.00255894, 0.00373944, 0.00959227, 0.000276939
8.87275, 0.00114766, 0.000949898, 0.00216272, 0.000637909, 0.00301818, 0.00375562, 0.0061363, 0.00024553
8.93926, 0.00120777, 0.00211041, 0.0033982, 0.000628159, 0.00158978, 0.00230076, 0.0059206, 0.0002562
9.00892, 0.00143946, 0.00292795, 0.00444606, 0.000988409, 0.00295088, 0.00405682, 0.00889516, 0.00029337
9.07566, 0.0012608, 0.00321844, 0.00455653, 0.00102232, 0.00308363, 0.00421587, 0.00899823, 0.000255209
