Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0, 0, 0, 0, 11680, 0, 0
0.00397201, 0.000407149, 0.00356296, 0.00260228, 11694, 4784, 588432
0.00106909, 0.000374653, 0.000693156, 0.000428105, 11676, 4798, 81180
0.000538185, 0.000385865, 0.00015065, 0, 11694, 4784, 0
0.00287141, 0.000365061, 0.002505, 0.00180531, 11581, 4792, 387327
0.00158192, 0.000383265, 0.00119755, 0.000818827, 11666, 4752, 140835
0.000852757, 0.00045923, 0.000392107, 0.000166272, 11633, 4804, 17466
0.00191669, 0.000505349, 0.00140901, 0.00097752, 11567, 4712, 182532
0.000517751, 0.000366532, 0.000149729, 0, 11592, 4820, 0
0.000508389, 0.000355319, 0.00015148, 0, 11590, 4805, 0
0.000492105, 0.000353008, 0.000137876, 0, 11693, 4769, 0
0.000504758, 0.000365501, 0.000138317, 0, 11547, 4748, 0
0.000482704, 0.000342627, 0.000138977, 0, 11615, 4727, 0
0.000581643, 0.00041129, 0.000169102, 0, 11655, 4776, 0
0.00056388, 0.000389446, 0.000173103, 0, 11645, 4779, 0
0.000478293, 0.000334095, 0.000143458, 0, 11636, 4736, 0
0.000478863, 0.000340116, 0.000137866, 0, 11644, 4757, 0
0.000697905, 0.000528923, 0.000167912, 0, 11645, 4780, 0
0.000505918, 0.00035962, 0.000145318, 0, 11639, 4747, 0
0.000502627, 0.0003603, 0.000141317, 0, 11555, 4737, 0
0.00056938, 0.000410909, 0.0001572, 0, 11651, 4810, 0
0.000649485, 0.000453388, 0.000194737, 0, 11658, 4777, 0
0.000599036, 0.000419861, 0.000177705, 0, 11613, 4780, 0
0.000574771, 0.000417731, 0.00015542, 0, 11648, 4791, 0
0.000562719, 0.00041298, 0.000148419, 0, 11570, 4742, 0
0.00508013, 0.000347377, 0.00110237, 0.00109965, 10881, 4524, 171585
0.00167108, 0.000371772, 0.00129851, 0.000927412, 11759, 4924, 152766
0.00181402, 0.000409799, 0.00140315, 0.000995652, 13726, 5393, 167772
0.00216081, 0.000476632, 0.00151012, 0.00106289, 16321, 5990, 187329
0.0026217, 0.000536403, 0.00181683, 0.00125784, 19652, 6466, 209592
0.0038333, 0.00102495, 0.00240001, 0.00171057, 24504, 6979, 219678
0.00440153, 0.000728619, 0.00172568, 0.00144005, 33448, 7566, 261375
0.00314878, 0.000882919, 0.00163861, 0.00114385, 45315, 7801, 200121
0.0032872, 0.000975986, 0.00170932, 0.00116276, 51509, 8135, 205533
0.0033592, 0.00102139, 0.00173859, 0.0011945, 54104, 8444, 214143
0.00367214, 0.00103444, 0.0018477, 0.00126655, 55763, 8735, 232839
0.00406174, 0.00110223, 0.00235859, 0.00160185, 59193, 9087, 280071
0.00697204, 0.00123571, 0.00250419, 0.0020675, 62338, 8997, 361497
0.00474816, 0.00131461, 0.00274351, 0.00185924, 66525, 9580, 332838
0.00703913, 0.0012647, 0.00368978, 0.00265323, 67745, 10350, 376011
0.00472613, 0.00128797, 0.00283611, 0.00197813, 67741, 11038, 372198
0.00579129, 0.0014647, 0.00313549, 0.00214713, 77683, 12135, 439356
0.00718757, 0.0025078, 0.00344313, 0.00237604, 87373, 13133, 498888
0.00613448, 0.00164086, 0.00370764, 0.00258391, 91752, 13067, 516600
0.00645684, 0.00172392, 0.00383774, 0.00260892, 90666, 13488, 522135
0.00666918, 0.00167572, 0.00402993, 0.0027562, 87220, 13444, 492123
0.00614626, 0.00172384, 0.00345347, 0.00240159, 89989, 13636, 490155
0.00599469, 0.00159022, 0.00335474, 0.00225621, 87619, 13305, 487203
0.00625225, 0.00189137, 0.00338901, 0.00237737, 82311, 12299, 441324
0.00589187, 0.00152168, 0.00340695, 0.00235133, 84435, 11924, 459897
0.00606961, 0.00148026, 0.00360652, 0.00249893, 81174, 12798, 529638
0.00656501, 0.00149312, 0.00374092, 0.00288291, 80117, 13824, 615984
0.00795604, 0.00150139, 0.00379098, 0.00404418, 77385, 14117, 923484
0.0108829, 0.00171321, 0.00393659, 0.00458449, 77306, 14869, 1.05718e+06
0.00819507, 0.00162073, 0.0038463, 0.00417909, 82057, 15244, 993102
0.00940654, 0.00167676, 0.00415693, 0.0041508, 86828, 15870, 945747
0.00793458, 0.00164289, 0.003865, 0.00399384, 87615, 16042, 930618
0.0079712, 0.00173319, 0.00405491, 0.00411195, 90168, 16656, 942303
0.00891856, 0.00184144, 0.00363917, 0.00388805, 92958, 17033, 910077
0.00664097, 0.00174807, 0.00333026, 0.00309784, 96288, 16797, 704544
0.00635333, 0.0019406, 0.00342042, 0.00279305, 99154, 16198, 582036
0.00833712, 0.0019015, 0.00248658, 0.00260834, 100003, 15017, 519798
0.00412682, 0.00187928, 0.00224641, 0.00140062, 99671, 14304, 221892
0.00361291, 0.00172894, 0.00188226, 0.00118792, 99312, 13800, 189420
0.00322661, 0.0016611, 0.00156436, 0.000996622, 99353, 13284, 155595
0.0069616, 0.00170352, 0.00138496, 0.00197534, 99184, 13061, 372567
0.00314274, 0.00164495, 0.00149714, 0.000927805, 100919, 13367, 147846
0.00375591, 0.0016826, 0.00159407, 0.0010094, 100699, 14139, 158670
0.00424746, 0.00184672, 0.00199994, 0.00128384, 101806, 14904, 189174
0.00456786, 0.00211089, 0.00217344, 0.00134617, 102649, 15697, 216234
0.00684804, 0.00199488, 0.00245952, 0.00162368, 104274, 16693, 287943
0.00647758, 0.00190055, 0.00262326, 0.0019438, 105525, 17117, 311067
0.00451633, 0.00191183, 0.0019909, 0.00127003, 104633, 15934, 241695
0.0047863, 0.00178041, 0.00233612, 0.00161619, 103861, 15674, 276258
0.00808808, 0.00181107, 0.0020947, 0.00329781, 103960, 15216, 662109
0.00628202, 0.00181473, 0.0025618, 0.00274331, 104229, 15277, 539601
0.0106563, 0.00189808, 0.00261884, 0.0048554, 104643, 14561, 979695
0.00641274, 0.00179197, 0.00296805, 0.00299028, 103119, 13695, 592368
0.00615982, 0.00172919, 0.00271691, 0.00278748, 97920, 12978, 581913
0.00620681, 0.00158576, 0.00247412, 0.00297513, 95542, 12966, 682281
0.00726411, 0.00157018, 0.00242304, 0.002892, 94206, 13907, 668136
0.00581219, 0.00159327, 0.00292599, 0.00264592, 94505, 14796, 568998
0.00757706, 0.00171956, 0.00296799, 0.00303082, 93418, 16066, 653130
0.00574274, 0.0016443, 0.00266226, 0.00254365, 92193, 15899, 548826
0.00836192, 0.0016836, 0.00244666, 0.00281064, 91961, 15539, 497904
0.00581974, 0.00165412, 0.00249082, 0.00257834, 90991, 15275, 568137
0.00665863, 0.00180459, 0.00280276, 0.00309076, 96483, 16812, 601470
0.00889132, 0.00214571, 0.00312928, 0.00323897, 99625, 18580, 636894
0.00627326, 0.00188324, 0.00297509, 0.00272197, 100828, 18951, 602085
0.00746767, 0.00187855, 0.00245166, 0.00279571, 100893, 17854, 606144
0.00662643, 0.00217063, 0.00253827, 0.00275654, 100469, 17031, 561372
0.00792903, 0.00179061, 0.0022791, 0.00326773, 100950, 15382, 717090
0.00683758, 0.00240865, 0.00255875, 0.00287136, 102026, 14742, 621888
0.00930375, 0.0018747, 0.00274421, 0.00402798, 102751, 14856, 910077
0.00663795, 0.00187944, 0.00281931, 0.00300089, 103025, 14699, 682281
0.00854653, 0.00170698, 0.00239251, 0.00389739, 101467, 13808, 865059
0.00588975, 0.00176741, 0.00265754, 0.00267981, 101892, 13841, 600855
0.00562136, 0.00174217, 0.00244692, 0.00242567, 96464, 13988, 543168
0.00858309, 0.00160493, 0.00228382, 0.00403385, 91653, 14139, 861246
0.00529047, 0.00165353, 0.00260153, 0.00226574, 93748, 15113, 496059
0.00515801, 0.00170201, 0.00257391, 0.00215205, 93233, 15052, 440832
0.0052401, 0.00167931, 0.00241625, 0.00225914, 92866, 14755, 469368
0.00708488, 0.00182021, 0.00246867, 0.00226635, 96008, 14980, 461988
0.00550318, 0.00173909, 0.00250767, 0.00244915, 96562, 15273, 514017
0.00682752, 0.00179069, 0.00280754, 0.00242334, 92578, 15717, 472443
0.00716565, 0.00204847, 0.00301496, 0.00250851, 92375, 17005, 509343
0.00641284, 0.00185954, 0.0033789, 0.00291504, 96743, 18523, 633204
0.00868278, 0.00197675, 0.00392084, 0.00354061, 99722, 20353, 765798
0.00942262, 0.00220991, 0.00429095, 0.00378767, 100894, 21751, 832833
0.00881302, 0.00213886, 0.00414718, 0.00421406, 101282, 21549, 822009
